countryGroup,amount,quantity,unitName,commodityCode,chapterName,chCode,countryName,commodityName
America,460985.0,200,Kg.,21069060,Miscellaneous edible preparations,21,U.S.A.,"Kurkure, kurmure, lays  & Similar goods  "
America,7142.24,6,Kg.,70179000,Glass and glassware,70,U.S.A.,"Laboratory, hygienic or pharmaceutical glassware"
America,255320.0,785,Kg.,17021100,Sugar and sugar confectionery,17,U.S.A.,Lactose and lactose syrup containing by weight 99% or more lactose expressed as anhydrous lactose
America,21086.17,95,Kg.,08055000,Edible fruits and nuts: peel of citrus fruit or melons,08,U.S.A.,"Lemons (Citrus limon, citrus limonum)   and limes (Citrus aurantifolia, Citrus latifolia )"
America,5001.0,13,Kg.,11072000,Products of milling industry: malt: starches: inulin: wheat gluten,11,U.S.A.,"Malt, roasted"
America,2200.0,0,Kg.,30045000,Pharmaceutical products,30,U.S.A.,Medicament containing vitamins
America,25651.0,1,Kg.,30042000,Pharmaceutical products,30,U.S.A.,Medicaments containing antibiotic for therapeutic  or prophylatic uses
America,196195.28,20,Kg.,30041000,Pharmaceutical products,30,U.S.A.,Medicaments containing pencilin or derivatives thereof
America,41161.82,20,Kg.,30049090,Pharmaceutical products,30,U.S.A.,"Medicaments, put up in measured doses or in forms of packings for retail sale"
America,327061.13,1687,Kg.,68041000,"Articles of stone, plaster, cement, asbestos, mica or similar materials",68,U.S.A.,Milestone and grindstones for milling grinding or pulping
America,877945.28,1099,Kg.,08135000,Edible fruits and nuts: peel of citrus fruit or melons,08,U.S.A.,Mixtures of nuts or dried fruits
America,8905.96,50,Kg.,17039000,Sugar and sugar confectionery,17,U.S.A.,Molasses resulting from the extraction or refining of sugar
America,12679.0,14,Kg.,54026900,Man-made filaments,54,U.S.A.,Multiple or cabled yarn
America,13189.0,175,Kg.,25102000,"Salt: sulphur: earth and stone: plastering materials, lime and cement",25,U.S.A.,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk, ground"
America,312424.0,141,Kg.,56021000,"Wadding, felt and nonwovens: special yarns: twine, cordage, ropes and cables and articles thereof",56,U.S.A.,Needleloom felt and stitch-bonded fibre fabrics
America,651334.19,322,Kg.,09041140,"Coffee, tea, mate and spices",09,U.S.A.,Neither crushed not ground Pepper (Sichuan pepper)
America,126547.61,820,Kg.,49021000,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,U.S.A.,"Newspaper, appearing at least four times a week"
America,14062.25,48,Kg.,12079900,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,Oil seeds
America,165472.5,61,Kg.,74198000,Copper and articles thereof,74,U.S.A.,Other article of copper
America,1313.0,0,Kg.,39269099,Plastics and articles thereof,39,U.S.A.,Other articles of plastics nes
America,10310.0,3,Kg.,33049990,"Essential oils and resinoids: perfumery, cosmetic or toilet preparations",33,U.S.A.,Other beauty or make up preparetions
America,19112450.0,10748,Kg.,04069010,"Dairy produce: birds` eggs: natural honey: edible products of animal origin, not elsewhere specified or included",04,U.S.A.,Other cheese
America,4198639.18,12019,Kg.,07139090,Edible vegetables and certain roots and tubers,07,U.S.A.,"Other dried Leguminous Vegitables,Whole"
America,73474.17,330,Kg.,07139010,Edible vegetables and certain roots and tubers,07,U.S.A.,"Other dried Leguminous Vegitables,Whole"
America,82895.34,440,Kg.,07131090,Edible vegetables and certain roots and tubers,07,U.S.A.,"other Dried peas, (excel in shelled)"
America,5540618.2,848,Kg.,65050019,Headgear and parts thereof,65,U.S.A.,Other hair nets
America,209008.0,132,Kg.,34024900,"Soap, organic surface active agents, waxing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34,U.S.A.,Other organic surface active agents
America,7566777.09,5386,Kg.,83062990,Miscellaneous articles of base metal,83,U.S.A.,Other ornaments
America,1178028.52,3621,Kg.,19049090,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,Other prepared cereals in grain form (excl . maize) nes.
America,35195848.29,45658,Kg.,83062910,Miscellaneous articles of base metal,83,U.S.A.,Other statuettes and other ornaments
America,847416.7,91,Kg.,44219990,Wood and articles of wood: wood charcoal,44,U.S.A.,Others articles of wood
America,1669685.1,3052,Kg.,19059030,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,Papad
America,1004843.78,67,Kg.,48239000,"Paper and paperboard: articles of paper pulp, of paper or of paperboard",48,U.S.A.,Paper and Paperboard
America,7800.0,4,Kg.,48102900,"Paper and paperboard: articles of paper pulp, of paper or of paperboard",48,U.S.A.,"Paper and paperboard of a kind used for writing, printing of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process"
America,5624411.4,16475,Kg.,19023000,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,Pasta
America,269576.66,240,Kg.,08140000,Edible fruits and nuts: peel of citrus fruit or melons,08,U.S.A.,"Peels of citrus fruit or melon, fresh, frozen"
America,167965.59,22,Kg.,83063000,Miscellaneous articles of base metal,83,U.S.A.,"Photograph, picture or similar frames, mirrors of base metal"
America,38819010.51,46678,Kg.,21039020,Miscellaneous edible preparations,21,U.S.A.,Pickle
America,7218346.88,1056,Kg.,49119100,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,U.S.A.,"Pictures, designs and photographs"
America,110165.92,155,Kg.,12119090,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,"Plants and parts of plants ( including seeds and fruits) of a kind used primarily in perfumery, in pharmacy or for insecticidal or similar purposes"
America,37749.12,640,Kg.,08094000,Edible fruits and nuts: peel of citrus fruit or melons,08,U.S.A.,Plums and sloes
America,611620.5,69,Kg.,63053300,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,U.S.A.,"Polyethylene, polypropyline bags and sacks"
America,1409609.82,1849,Kg.,19059020,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,Potatoes chips
America,11288662.66,56517,Kg.,19042000,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,Prepared foods obtained from inroasted cereal flakes
America,1439555.38,376,Kg.,49119990,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,U.S.A.,"Printed matter, including printed pictures and photographs"
America,500.0,1,Kg.,04063000,"Dairy produce: birds` eggs: natural honey: edible products of animal origin, not elsewhere specified or included",04,U.S.A.,Processed cheese
America,653720.07,312,Kg.,04049000,"Dairy produce: birds` eggs: natural honey: edible products of animal origin, not elsewhere specified or included",04,U.S.A.,Product consisting of natural milk constituents whether or not containing added sugar or sweetening matter
America,13179.0,30,Kg.,25062000,"Salt: sulphur: earth and stone: plastering materials, lime and cement",25,U.S.A.,Quartzite
America,5076910.8,484,Kg.,04090010,"Dairy produce: birds` eggs: natural honey: edible products of animal origin, not elsewhere specified or included",04,U.S.A.,Raw Natural Honey
America,5500.0,7,Kg.,76061100,Aluminium and articles thereof,76,U.S.A.,"Rectangular plates of aluminium, not alloyed"
America,322910.14,554,Kg.,07134090,Edible vegetables and certain roots and tubers,07,U.S.A.,Red lentils
America,6683442.73,62347,Kg.,74081100,Copper and articles thereof,74,U.S.A.,Refined copper wire of which maximum cross-sectional dimension exceeds 6mm
America,55423.2,12,Kg.,48201000,"Paper and paperboard: articles of paper pulp, of paper or of paperboard",48,U.S.A.,"Registers, account book, notebook, order book, letter pad, diaries"
America,6035842.37,1027,Kg.,14049050,Vegetable plaiting materials: vegetable products not elsewhere specified or included,14,U.S.A.,Rudrakshya
America,1071800.5,203,Kg.,63059000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,U.S.A.,Sacks and bags
America,3847567.04,4606,Kg.,21039010,Miscellaneous edible preparations,21,U.S.A.,"Sauces and sauce preparations; mixed condi ments and seasonings, nes"
America,11132.45,50,Kg.,34054000,"Soap, organic surface active agents, waxing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34,U.S.A.,Scouring paste and powder or other scouring preparations
America,294754.58,448,Kg.,12099190,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,Seed of other vegetables
America,106985.97,150,Kg.,09096100,"Coffee, tea, mate and spices",09,U.S.A.,"Seeds  of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground"
America,138828.2,100,Kg.,09093100,"Coffee, tea, mate and spices",09,U.S.A.,"Seeds of cumin, neither crushed nor ground"
America,1436847.0,70,Kg.,12093000,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,Seeds of herbaceous plants cultivated principally for their flowers
America,463592.26,935,Kg.,12074000,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,Sesamum seeds
America,2423414.53,51748,Kg.,82151000,"Tools, implements, cutlery, spoons and forks, of base metal: parts thereof of base metal",82,U.S.A.,Set of assorted articles containing at least one article with precious metal
America,225264.59,19,Kg.,51011100,"Wool, fine or coarse animal hair: horsehair yarn and woven fabric",51,U.S.A.,"Shorn wool, greasy, including fleece-washed"
America,455320.27,40,Kg.,83100000,Miscellaneous articles of base metal,83,U.S.A.,"Sign plate,name plate"
America,11844.48,15,Kg.,34012010,"Soap, organic surface active agents, waxing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34,U.S.A.,"Soap in other forms, nes  ."
America,227446.25,310,Kg.,14049070,Vegetable plaiting materials: vegetable products not elsewhere specified or included,14,U.S.A.,Soapnut
America,3440938.42,11067,Kg.,12019000,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,"Soya beans, whether or not broken"
America,310400.6,392,Kg.,21069094,Miscellaneous edible preparations,21,U.S.A.,Soya chunks (soyabody masyaura) 
America,2349478.78,7290,Kg.,21031000,Miscellaneous edible preparations,21,U.S.A.,Soya sauce
America,15216083.83,33717,Kg.,09109990,"Coffee, tea, mate and spices",09,U.S.A.,Spices
America,6400.0,0,Kg.,39264000,Plastics and articles thereof,39,U.S.A.,Statuettes and ornamental articles of plastic
America,12850281.19,12314,Kg.,83062110,Miscellaneous articles of base metal,83,U.S.A.,Statuettes of plated with precious metal
America,6000.0,4,Kg.,68029900,"Articles of stone, plaster, cement, asbestos, mica or similar materials",68,U.S.A.,Stones
America,5814942.77,9355,Kg.,17049000,Sugar and sugar confectionery,17,U.S.A.,Sugar confectionery not containing cocoa
America,357912.75,253,Kg.,19053100,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,Sweet biscuits
America,62016.5,200,Kg.,32049000,"Tanning or dying extracts: tannins and their derivatives: dyes,  pigments and other colouring matter: paints and varnishes: putty and other mastics: inks",32,U.S.A.,Synthetic organic colouring products
America,422729.67,552,Kg.,73239900,Articles of iron or steel,73,U.S.A.,"Table, kitchen or household article of iron or steel"
America,64756674.36,153714,Kg.,73239300,Articles of iron or steel,73,U.S.A.,"Table, kitchen or household articles of stainless steel"
America,8913570.65,6188,Kg.,74181000,Copper and articles thereof,74,U.S.A.,"Table, kitchen or other household articles and parts thereof; pot scourers and scouring or polishing pads, gloves and the like"
America,380951.01,354,Kg.,39241090,Plastics and articles thereof,39,U.S.A.,"Tableware, kitchenware of plastic"
